Angle (degrees),Height,Peça,Scan,Iteração,Part,stepdown,tool diameter,input angle,input height
70.2093533476437,81.84988734638966,II,markers,4,part1,0.3,12,70,82.4
69.86187956345516,82.36412518729715,II,markers,4,part2,0.3,12,70,82.4
70.12967056731769,81.81679553957025,II,markers,5,part1,0.3,12,70,82.4
69.94242861473406,82.33289814775861,II,markers,5,part2,0.3,12,70,82.4
70.1617627473395,82.24754403725926,II,markers,6,part1,0.3,12,70,82.4
70.18319204846487,82.36837149883794,II,markers,6,part2,0.3,12,70,82.4
70.21164468647864,82.28704675548786,II,markers,7,part1,0.3,12,70,82.4
70.06304321341803,82.32480902607142,II,markers,7,part2,0.3,12,70,82.4
70.20048925873554,82.37058455246155,II,markers,8,part1,0.3,12,70,82.4
70.16086368917459,82.28059792796354,II,markers,8,part2,0.3,12,70,82.4
70.60015914941447,82.40853778122464,IV,markers,1,part1,0.7,12,70,82.4
69.80344943252383,82.34966847883683,IV,markers,1,part2,0.7,12,70,82.4
70.356456535236,82.81325775108334,IV,markers,2,part1,0.7,12,70,82.4
70.09821418371533,82.27414456852568,IV,markers,2,part2,0.7,12,70,82.4
70.53937219122233,82.67614577536364,IV,markers,3,part1,0.7,12,70,82.4
69.89134633819266,82.35279289460608,IV,markers,3,part2,0.7,12,70,82.4
70.50914497348009,82.72317567680015,IV,markers,4,part1,0.7,12,70,82.4
69.9118551858646,82.26150858248822,IV,markers,4,part2,0.7,12,70,82.4
70.40210879972729,82.71822039212209,IV,markers,5,part1,0.7,12,70,82.4
69.89995752208483,82.2593311415388,IV,markers,5,part2,0.7,12,70,82.4
70.2196930556951,82.97590555420568,IV,markers,6,part1,0.7,12,70,82.4
70.29194582542438,82.21586129094378,IV,markers,6,part2,0.7,12,70,82.4
70.04085903412107,82.69476302974012,IV,markers,7,part1,0.7,12,70,82.4
70.34829137107126,82.19139516803651,IV,markers,7,part2,0.7,12,70,82.4
69.97537074499829,82.54966931027975,IV,markers,8,part1,0.7,12,70,82.4
70.33449671290256,82.11029911643791,IV,markers,8,part2,0.7,12,70,82.4
70.60015914941447,82.40853778122464,IV,markers,1,part1,0.7,12,70,82.4
69.80344943252383,82.34966847883683,IV,markers,1,part2,0.7,12,70,82.4
70.356456535236,82.81325775108334,IV,markers,2,part1,0.7,12,70,82.4
70.09821418371533,82.27414456852568,IV,markers,2,part2,0.7,12,70,82.4
70.53937219122233,82.67614577536364,IV,markers,3,part1,0.7,12,70,82.4
69.89134633819266,82.35279289460608,IV,markers,3,part2,0.7,12,70,82.4
70.50914497348009,82.72317567680015,IV,markers,4,part1,0.7,12,70,82.4
69.9118551858646,82.26150858248822,IV,markers,4,part2,0.7,12,70,82.4
70.40210879972729,82.71822039212209,IV,markers,5,part1,0.7,12,70,82.4
69.89995752208483,82.2593311415388,IV,markers,5,part2,0.7,12,70,82.4
70.2196930556951,82.97590555420568,IV,markers,6,part1,0.7,12,70,82.4
70.29194582542438,82.21586129094378,IV,markers,6,part2,0.7,12,70,82.4
70.04085903412107,82.69476302974012,IV,markers,7,part1,0.7,12,70,82.4
70.34829137107126,82.19139516803651,IV,markers,7,part2,0.7,12,70,82.4
69.97537074499829,82.54966931027975,IV,markers,8,part1,0.7,12,70,82.4
70.33449671290256,82.11029911643791,IV,markers,8,part2,0.7,12,70,82.4
70.50189416581648,82.28607095168803,IV,markers,1,part1,0.7,12,70,82.4
69.97879289320825,82.44716405352153,IV,markers,1,part2,0.7,12,70,82.4
70.3904734131693,82.45333518321499,IV,markers,2,part1,0.7,12,70,82.4
70.25519731215624,82.3611523630341,IV,markers,2,part2,0.7,12,70,82.4
70.3879027118493,82.09681933626666,IV,markers,3,part1,0.7,12,70,82.4
69.9084873615667,82.386789604515,IV,markers,3,part2,0.7,12,70,82.4
70.44244851936014,82.16818283908654,IV,markers,4,part1,0.7,12,70,82.4
69.97434502845785,82.2993657130721,IV,markers,4,part2,0.7,12,70,82.4
70.49684951383722,82.2223676603795,IV,markers,5,part1,0.7,12,70,82.4
70.08939675981594,82.42819036905833,IV,markers,5,part2,0.7,12,70,82.4
70.35407647954875,82.50884496607108,IV,markers,6,part1,0.7,12,70,82.4
70.42559844213058,82.21584223632564,IV,markers,6,part2,0.7,12,70,82.4
70.20987667054703,82.513320146075,IV,markers,7,part1,0.7,12,70,82.4
70.4714461842582,82.4058538017611,IV,markers,7,part2,0.7,12,70,82.4
70.15472905628927,82.44280837236363,IV,markers,8,part1,0.7,12,70,82.4
70.48081518869337,82.29541475978205,IV,markers,8,part2,0.7,12,70,82.4
70.57113382332757,82.12919491841429,IV,markers,1,part1,0.7,12,70,82.4
69.86583058989716,82.08933783442508,IV,markers,1,part2,0.7,12,70,82.4
70.48562304749115,82.29946321411273,IV,markers,2,part1,0.7,12,70,82.4
70.12558733581136,82.33228454412607,IV,markers,2,part2,0.7,12,70,82.4
70.49201305960355,82.05634453927665,IV,markers,3,part1,0.7,12,70,82.4
69.87519916641614,82.24873286526983,IV,markers,3,part2,0.7,12,70,82.4
70.51778263298442,82.07728549504375,IV,markers,4,part1,0.7,12,70,82.4
