Angle (degrees),Height,Peça,Scan,Iteração,Part
70.25548287079098,82.41921973327678,0.8 mesh,90perc,7,part1
70.19109519686141,82.77457998246155,0.8 mesh,90perc,7,part2
70.07313741334852,82.32733259769445,0.8 mesh,90perc,8,part1
70.33018013104109,82.77924724551819,0.8 mesh,90perc,8,part2
70.55828236456698,82.30086356201097,0.9 mesh,90perc,1,part1
69.97619253594033,82.15045060031764,0.9 mesh,90perc,1,part2
70.35218144532267,82.22321937267353,0.9 mesh,90perc,2,part1
69.82519698474017,82.21229729546032,0.9 mesh,90perc,2,part2
70.49419861183192,82.48479025194806,0.9 mesh,90perc,3,part1
69.91548907369197,82.43627671498571,0.9 mesh,90perc,3,part2
70.47014907136187,82.35913478547451,0.9 mesh,90perc,4,part1
69.80351639858463,82.27963670018461,0.9 mesh,90perc,4,part2
70.55730980753532,82.32205229743137,0.9 mesh,90perc,5,part1
69.91449124827511,82.45600107621678,0.9 mesh,90perc,5,part2
70.59725514535232,82.45304405969232,0.9 mesh,90perc,6,part1
70.12655836154126,82.6511402771039,0.9 mesh,90perc,6,part2
70.4528909220865,82.29592490958889,0.9 mesh,90perc,7,part1
70.20218860079922,82.74661913012727,0.9 mesh,90perc,7,part2
70.2203224745862,82.35685376501665,0.9 mesh,90perc,8,part1
70.39904011568748,82.84197948114284,0.9 mesh,90perc,8,part2
70.4625548699386,82.66406731080356,1 mesh,90perc,1,part1
70.02843161756505,82.09865649110161,1 mesh,90perc,1,part2
70.52235753471444,82.41636450316346,1 mesh,90perc,2,part1
69.84378489797503,82.33316273026666,1 mesh,90perc,2,part2
70.72807316257817,82.56557244608332,1 mesh,90perc,3,part1
69.87977569163957,82.31869872966668,1 mesh,90perc,3,part2
70.65219993554739,82.50594836932052,1 mesh,90perc,4,part1
69.87207478405988,82.52784214283334,1 mesh,90perc,4,part2
70.73007792399937,82.39174863680158,1 mesh,90perc,5,part1
69.80216709079052,82.2399335658466,1 mesh,90perc,5,part2
70.4836052530858,82.45237147991428,1 mesh,90perc,6,part1
70.19047733422536,82.58218805178572,1 mesh,90perc,6,part2
70.47848061987852,82.46894265670514,1 mesh,90perc,7,part1
70.28645840199817,82.28003697162697,1 mesh,90perc,7,part2
70.25292778100079,82.52753996575892,1 mesh,90perc,8,part1
70.23490174591575,82.79146592374357,1 mesh,90perc,8,part2
70.47044111269332,82.41138165609526,1 mesh,90perc,1,part1
70.02513734577084,82.02386788589696,1 mesh,90perc,1,part2
70.34353911501022,82.27132405060577,1 mesh,90perc,2,part1
69.80753976989583,82.54836746190769,1 mesh,90perc,2,part2
70.46685578499593,82.6994251094011,1 mesh,90perc,3,part1
69.94399269309037,82.47988176283333,1 mesh,90perc,3,part2
70.53161059036964,82.6255289155625,1 mesh,90perc,4,part1
69.83994981781052,82.45448326644286,1 mesh,90perc,4,part2
70.5608834674205,82.41686526848811,1 mesh,90perc,5,part1
69.73696898102021,82.46083343379999,1 mesh,90perc,5,part2
70.53731534581713,82.43805578970834,1 mesh,90perc,6,part1
70.07486213945094,82.59109469277777,1 mesh,90perc,6,part2
70.33723405826424,82.39947939599999,1 mesh,90perc,7,part1
70.18697846762024,82.67913177057142,1 mesh,90perc,7,part2
70.35536051316171,82.43714135284615,1 mesh,90perc,8,part1
70.31718355173606,82.61080285613984,1 mesh,90perc,8,part2
70.41957391042058,82.45510786415383,1 mesh,90perc,1,part1
69.98796467522642,82.2099952758182,1 mesh,90perc,1,part2
70.30879334756668,82.423674862,1 mesh,90perc,2,part1
69.76684532786714,82.26922748413095,1 mesh,90perc,2,part2
70.50607378844872,82.6696783472238,1 mesh,90perc,3,part1
69.81597411387506,82.2544110109495,1 mesh,90perc,3,part2
70.55091683028449,82.5334832799,1 mesh,90perc,4,part1
69.77540735312333,82.3240323582,1 mesh,90perc,4,part2
70.46668126117036,82.35323436553571,1 mesh,90perc,5,part1
69.66897360376417,82.32213260683334,1 mesh,90perc,5,part2
70.42866626338338,82.35350961091827,1 mesh,90perc,6,part1
70.01762880728012,82.52827792866667,1 mesh,90perc,6,part2
70.26581707639973,82.3943265475641,1 mesh,90perc,7,part1
70.0329241963911,82.43407120282143,1 mesh,90perc,7,part2
70.20945814552367,82.52500784752382,1 mesh,90perc,8,part1
70.12761937267072,82.68540464799999,1 mesh,90perc,8,part2
