Angle (degrees),Height,Peça,Scan,Iteração,Part
40.00428653917655,25.58222607116851,LMD,markers,7,part2
39.78459439537827,25.63746890241,LMD,markers,8,part1
40.032838239003475,25.57273643828736,LMD,markers,8,part2
40.45647129419259,25.557592528323376,LMD,markers,1,part1
40.34377361103593,25.37764209856445,LMD,markers,1,part2
40.260697162106936,25.58437078020284,LMD,markers,2,part1
40.23782959988974,25.564540997826555,LMD,markers,2,part2
40.35843191516172,25.551959719269025,LMD,markers,3,part1
40.24699487645893,25.58109074735714,LMD,markers,3,part2
40.249907912436974,25.593205937148262,LMD,markers,4,part1
40.4388750944759,25.56549501656527,LMD,markers,4,part2
39.99120239952757,25.469946013352317,LMD,markers,5,part1
40.13717946427502,25.403053000085713,LMD,markers,5,part2
40.37078359224023,25.44622496928205,LMD,markers,6,part1
40.342140871577904,25.632149225540537,LMD,markers,6,part2
40.415548015345195,25.40476963891453,LMD,markers,7,part1
40.29384995819645,25.740863002031045,LMD,markers,7,part2
40.218234331946995,25.398674789454024,LMD,markers,8,part1
40.27675544057067,25.657944591937493,LMD,markers,8,part2
40.081132894423966,25.558601097125003,LR,markers,1,part1
40.44143620157941,25.19560989489583,LR,markers,1,part2
40.62237620869169,25.304621991688176,LR,markers,2,part1
40.09054101859488,25.50499951539286,LR,markers,2,part2
40.077287782258395,25.573699439504345,LR,markers,3,part1
40.284290526848956,25.441625629809526,LR,markers,3,part2
40.16585625749909,25.462590145459064,LR,markers,4,part1
40.37469279661201,25.471181697385187,LR,markers,4,part2
40.28164614395373,25.54690619946621,LR,markers,5,part1
40.293038537653494,25.467326828655306,LR,markers,5,part2
40.738617363074155,25.101292986855558,LR,markers,6,part1
40.128234000466584,25.491712874806026,LR,markers,6,part2
40.878040008644355,25.29403228594397,LR,markers,7,part1
40.22855499268408,25.456749560540473,LR,markers,7,part2
40.77426999753372,25.4146035224,LR,markers,8,part1
40.066526734120146,25.551869080966217,LR,markers,8,part2
40.41345867089527,25.681485091931037,LR,markers,1,part1
40.43274681559681,25.697376028194256,LR,markers,1,part2
40.20560508884473,25.68919345248273,LR,markers,2,part1
40.185475009475496,25.31739348261802,LR,markers,2,part2
40.33927400177755,25.564468137316364,LR,markers,3,part1
40.4155309085357,25.753617888645827,LR,markers,3,part2
40.75939596498699,25.713441878774024,LR,markers,4,part1
40.340697500416134,25.463746604434522,LR,markers,4,part2
40.21507021785863,25.59241560407738,LR,markers,5,part1
40.41287233514775,25.692494503511902,LR,markers,5,part2
40.40675240967359,25.770495405174998,LR,markers,6,part1
40.222847034239386,25.007736805481827,LR,markers,6,part2
40.30146345479759,25.665291075088277,LR,markers,7,part1
40.32561204047911,25.372843296596155,LR,markers,7,part2
40.43213402333448,25.770255762822732,LR,markers,8,part1
40.35599555628653,25.639377046651852,LR,markers,8,part2
40.164398900950516,25.371783195698054,LR,markers,1,part1
40.1167995976185,25.24111244131905,LR,markers,1,part2
40.250809889499656,25.32455574727065,LR,markers,2,part1
40.22264218138832,25.257854020847613,LR,markers,2,part2
40.02121770176894,25.25281398059416,LR,markers,3,part1
40.60872962599123,25.367254139701753,LR,markers,3,part2
40.226179801889046,25.211344214982006,LR,markers,4,part1
40.16590311656858,25.109318918224997,LR,markers,4,part2
40.33316348348929,25.372755345171797,LR,markers,5,part1
40.05114325737256,25.373460214028572,LR,markers,5,part2
40.36605044134789,25.26642765047115,LR,markers,6,part1
40.28501600152297,25.140769653573805,LR,markers,6,part2
40.18908351678285,25.387680187238615,LR,markers,7,part1
40.47607373892242,24.972765542069602,LR,markers,7,part2
40.159646373461186,25.34510772289286,LR,markers,8,part1
40.272002200161324,25.145715343750346,LR,markers,8,part2
39.9364889204694,25.369466545972223,LR,markers,1,part1
40.48460981557936,25.469790990844828,LR,markers,1,part2
40.47361808591248,25.59863863460287,LR,markers,2,part1
40.16075750061581,25.3553756636,LR,markers,2,part2
40.283105050559065,25.522316910778567,LR,markers,3,part1
40.345954783627086,25.673468012877407,LR,markers,3,part2
40.22433459178959,25.51440635915566,LR,markers,4,part1
39.93724602499065,25.60818174017287,LR,markers,4,part2
39.99295494707198,25.464271883145578,LR,markers,5,part1
40.29719185186391,25.609541132469698,LR,markers,5,part2
40.477171854179346,25.57660300153959,LR,markers,6,part1
40.10209179528629,25.582600704058713,LR,markers,6,part2
40.53665347271673,25.569670390898743,LR,markers,7,part1
40.15999515489094,25.55068021279487,LR,markers,7,part2
40.43765714082732,25.48092190142265,LR,markers,8,part1
40.43752169677298,25.65756008791955,LR,markers,8,part2
39.97306175703209,24.8670333638021,NN(16),markers,1,part1
40.04225530944477,25.034689601476195,NN(16),markers,1,part2
40.499999608808665,24.848977713948052,NN(16),markers,2,part1
39.69461799301144,25.019675265054346,NN(16),markers,2,part2
40.11231839667609,25.035531956036365,NN(16),markers,3,part1
39.70197219848111,24.837943588138096,NN(16),markers,3,part2
40.029249138214674,24.67444139536875,NN(16),markers,4,part1
39.79239718159248,24.890803433769587,NN(16),markers,4,part2
40.31903156806449,24.758951782299995,NN(16),markers,5,part1
39.642368646030604,24.960598731530176,NN(16),markers,5,part2
39.83685372005483,24.955471915724967,NN(16),markers,6,part1
39.656588759025766,24.85125720900961,NN(16),markers,6,part2
39.536809972414936,24.96321384379005,NN(16),markers,7,part1
40.051786243339116,24.55917956835256,NN(16),markers,7,part2
39.81448818092668,24.677581624347784,NN(16),markers,8,part1
